sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
147,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,2.0,0.0,0.0,0.0,September
148,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0.0,0.0,0.0,0.0,September
149,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,26.0,3.0,2.0,2.0,September
150,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,570.0,83.0,50.0,33.0,September
151,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,418.0,66.0,38.0,46.0,September
152,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,267.0,39.0,32.0,27.0,September
153,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,745.0,86.0,99.0,89.0,September
154,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0.0,0.0,0.0,0.0,September
155,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,1.0,0.0,0.0,0.0,September
156,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,2.0,1.0,0.0,0.0,September
157,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,28.0,3.0,2.0,1.0,September
158,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,53.0,5.0,8.0,2.0,September
159,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,13.0,2.0,0.0,1.0,September
160,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Government Office,3.0,0.0,0.0,3.0,September
161,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Tractors,59.0,9.0,6.0,5.0,September
162,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Mines,19.0,0.0,1.0,5.0,September
163,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Attempt to commit,39.0,8.0,5.0,4.0,September
164,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Sand,983.0,103.0,69.0,65.0,September
165,A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Bus,29.0,0.0,11.0,7.0,September
166,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Snatching,109.0,0.0,34.0,37.0,September
167,A - IPC Crime,THEFT (Sec.379 to 389 IPC),At ATM,10.0,1.0,1.0,2.0,September
168,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,195.0,26.0,20.0,27.0,September
169,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cattle,385.0,42.0,58.0,36.0,September
170,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cycle,80.0,21.0,6.0,4.0,September
171,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,72.0,12.0,10.0,7.0,September
172,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,8.0,1.0,0.0,1.0,September
173,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,185.0,29.0,23.0,18.0,September
174,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Two Wheelers ,8506.0,1079.0,874.0,817.0,September
175,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobies - of Three Wheelers,231.0,28.0,28.0,28.0,September
176,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Accessories of Motor Vehicle,255.0,31.0,25.0,32.0,September
177,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Govt. Vehicle,3.0,0.0,0.0,0.0,September
178,A - IPC Crime,THEFT (Sec.379 to 389 IPC),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",1036.0,184.0,107.0,89.0,September
179,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Fire Arms,5.0,1.0,2.0,1.0,September
180,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Explosives,0.0,0.0,0.0,0.0,September
181,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,5.0,0.0,0.0,1.0,September
182,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,1.0,0.0,0.0,0.0,September
183,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,186.0,22.0,21.0,17.0,September
184,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Cash,443.0,54.0,44.0,48.0,September
185,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Jewellery,1211.0,121.0,106.0,126.0,September
186,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,1392.0,193.0,149.0,130.0,September
187,A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Train,33.0,8.0,4.0,7.0,September
188,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Extortion,208.0,22.0,18.0,31.0,September
189,A - IPC Crime,THEFT (Sec.379 to 389 IPC),House Theft,1458.0,214.0,147.0,164.0,September
190,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Servant Theft,386.0,39.0,34.0,47.0,September
191,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Land Dispute,772.0,86.0,73.0,44.0,September
192,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Employee - Govt.,0.0,0.0,0.0,0.0,September
193,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Private Sector,2.0,0.0,0.0,0.0,September
194,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Public Sector,1.0,0.0,0.0,0.0,September
195,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Linguistic,2.0,0.0,0.0,0.0,September
196,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Political ,14.0,1.0,1.0,2.0,September
197,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Regional,5.0,1.0,1.0,0.0,September
198,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Sectarian,0.0,0.0,0.0,0.0,September
199,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Students,5.0,3.0,0.0,0.0,September
200,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Tribal,0.0,0.0,0.0,0.0,September
201,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Due to Village Disputes,21.0,0.0,2.0,2.0,September
202,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Communal,20.0,0.0,0.0,18.0,September
203,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Industrial,3.0,0.0,0.0,0.0,September
204,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Caste,5.0,0.0,0.0,0.0,September
