sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
176,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Explosives,0,1,0,0,August
177,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,4,1,0,0,August
178,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,1,1,0,0,August
179,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,167,40,16,18,August
180,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Cash,396,82,57,45,August
181,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Jewellery,1087,140,102,105,August
182,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,1262,266,133,147,August
183,A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Train,26,2,5,4,August
184,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Extortion,178,20,24,18,August
185,A - IPC Crime,THEFT (Sec.379 to 389 IPC),House Theft,1291,216,166,147,August
186,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Servant Theft,338,52,48,34,August
187,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Land Dispute,725,83,80,74,August
188,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Employee - Govt.,0,0,0,0,August
189,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Private Sector,2,0,0,0,August
190,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Public Sector,1,0,0,0,August
191,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Linguistic,2,0,0,0,August
192,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Political ,12,3,0,1,August
193,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Regional,5,0,0,1,August
194,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Sectarian,0,0,0,0,August
195,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Students,5,0,0,0,August
196,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Tribal,0,0,0,0,August
197,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Due to Village Disputes,19,1,0,2,August
198,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Communal,2,0,0,0,August
199,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Industrial,3,1,0,0,August
200,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Caste,5,1,0,0,August
201,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Agrarian,1,0,0,0,August
202,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Others,1700,244,151,152,August
203,A - IPC Crime,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC)",,0,0,0,0,August
204,A - IPC Crime,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC",,66,18,6,2,August
205,A - IPC Crime,CRIMINAL BREACH OF TRUST,,384,37,50,59,August
206,A - IPC Crime,CHEATING (Sec.417 to 420 IPC),,4568,740,615,520,August
207,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )","Stock Share, Debentrue Certificate",0,0,0,0,August
208,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Usage of Counterfeit Stamp,0,0,0,0,August
