sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
153,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,656.0,113.0,73.0,99.0,July
154,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0.0,0.0,0.0,0.0,July
155,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,1.0,0.0,0.0,0.0,July
156,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,2.0,0.0,0.0,0.0,July
157,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,27.0,2.0,1.0,2.0,July
158,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,51.0,16.0,2.0,8.0,July
159,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,12.0,4.0,0.0,0.0,July
160,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Sand,916.0,139.0,93.0,69.0,July
161,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Attempt to commit,35.0,6.0,4.0,5.0,July
162,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Tractors,8.0,2.0,4.0,1.0,July
163,A - IPC Crime,THEFT (Sec.379 to 389 IPC),At ATM,54.0,14.0,4.0,6.0,July
164,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,168.0,33.0,28.0,19.0,July
165,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cattle,347.0,64.0,45.0,56.0,July
166,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cycle,76.0,20.0,4.0,6.0,July
167,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,65.0,17.0,10.0,10.0,July
168,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,8.0,0.0,2.0,1.0,July
169,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,167.0,34.0,23.0,23.0,July
170,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Two Wheelers ,7688.0,1394.0,991.0,874.0,July
171,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobies - of Three Wheelers,203.0,47.0,36.0,28.0,July
172,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Accessories of Motor Vehicle,224.0,27.0,33.0,25.0,July
173,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Govt. Vehicle,3.0,0.0,1.0,0.0,July
174,A - IPC Crime,THEFT (Sec.379 to 389 IPC),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",948.0,244.0,122.0,108.0,July
175,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Fire Arms,4.0,0.0,0.0,2.0,July
176,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Explosives,0.0,1.0,0.0,0.0,July
177,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,4.0,1.0,0.0,0.0,July
178,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,1.0,1.0,0.0,0.0,July
179,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,167.0,40.0,16.0,18.0,July
180,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Cash,396.0,82.0,57.0,45.0,July
181,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Jewellery,1087.0,140.0,102.0,105.0,July
182,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,1262.0,266.0,133.0,147.0,July
183,A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Train,26.0,2.0,5.0,4.0,July
184,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Extortion,178.0,20.0,24.0,18.0,July
185,A - IPC Crime,THEFT (Sec.379 to 389 IPC),House Theft,1291.0,216.0,166.0,147.0,July
186,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Servant Theft,338.0,52.0,48.0,34.0,July
187,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Land Dispute,725.0,83.0,80.0,74.0,July
188,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Employee - Govt.,0.0,0.0,0.0,0.0,July
189,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Private Sector,2.0,0.0,0.0,0.0,July
190,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Public Sector,1.0,0.0,0.0,0.0,July
191,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Linguistic,2.0,0.0,0.0,0.0,July
